l,t,freq,S21
1,0.4,6.6,-0.21178266
1,0.4,6.7,-0.217347915
1,0.4,6.8,-0.222974448
1,0.4,6.9,-0.228661872
1,0.4,7,-0.234409809
1,0.4,7.1,-0.240217887
1,0.4,7.2,-0.246085744
1,0.4,7.3,-0.252013028
1,0.4,7.4,-0.257999391
1,0.4,7.5,-0.264044493
1,0.4,7.6,-0.270148003
1,0.4,7.7,-0.276309593
1,0.4,7.8,-0.282528941
1,0.4,7.9,-0.288805729
1,0.4,8,-0.295139644
1,0.4,8.1,-0.301530374
1,0.4,8.2,-0.307977608
1,0.4,8.3,-0.314481036
1,0.4,8.4,-0.321040345
1,0.4,8.5,-0.327655224
1,0.4,8.6,-0.334325352
1,0.4,8.7,-0.341050407
1,0.4,8.8,-0.347830058
1,0.4,8.9,-0.354663967
1,0.4,9,-0.361551783
1,0.4,9.1,-0.368493145
1,0.4,9.2,-0.375487676
1,0.4,9.3,-0.382534985
1,0.4,9.4,-0.389634663
1,0.4,9.5,-0.39678628
1,0.4,9.6,-0.403989385
1,0.4,9.7,-0.411243504
1,0.4,9.8,-0.418548137
1,0.4,9.9,-0.425902758
1,0.4,10,-0.433306811
1,0.4,10.1,-0.44075971
1,0.4,10.2,-0.448260837
1,0.4,10.3,-0.45580954
1,0.4,10.4,-0.463405134
1,0.4,10.5,-0.471046896
1,0.4,10.6,-0.478734066
1,0.4,10.7,-0.486465849
1,0.4,10.8,-0.494241409
1,0.4,10.9,-0.502059874
1,0.4,11,-0.509920331
1,0.4,11.1,-0.517821831
1,0.4,11.2,-0.525763386
1,0.4,11.3,-0.533743972
1,0.4,11.4,-0.541762528
1,0.4,11.5,-0.54981796
1,0.4,11.6,-0.557909141
1,0.4,11.7,-0.566034914
1,0.4,11.8,-0.574194095
1,0.4,11.9,-0.582385472
1,0.4,12,-0.590607816
1,0.4,12.1,-0.598859876
1,0.4,12.2,-0.607140389
1,0.4,12.3,-0.61544808
1,0.4,12.4,-0.62378167
1,0.4,12.5,-0.632139878
1,0.4,12.6,-0.640521428
1,0.4,12.7,-0.648925053
1,0.4,12.8,-0.657349499
1,0.4,12.9,-0.665793532
