"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
1.1,0.2,9.2,-0.387427214282967
1.1,0.2,9.3,-0.39478020183904
1.1,0.2,9.4,-0.402197395598573
1.1,0.2,9.5,-0.409678077615801
1.1,0.2,9.6,-0.417221473888693
1.1,0.2,9.7,-0.424826758179592
1.1,0.2,9.8,-0.43249305612174
1.1,0.2,9.9,-0.440219449577007
1.1,0.2,10,-0.448004981208737
1.1,0.2,10.1,-0.455848659233375
1.1,0.2,10.2,-0.463749462313703
1.1,0.2,10.3,-0.471706344557056
1.1,0.2,10.4,-0.47971824058157
1.1,0.2,10.5,-0.487784070615041
1.1,0.2,10.6,-0.495902745591182
1.1,0.2,10.7,-0.504073172209893
1.1,0.2,10.8,-0.512294257929783
1.1,0.2,10.9,-0.52056491586301
1.1,0.2,11,-0.528884069544634
1.1,0.2,11.1,-0.537250657551494
1.1,0.2,11.2,-0.545663637947795
1.1,0.2,11.3,-0.554121992537979
1.1,0.2,11.4,-0.562624730910141
1.1,0.2,11.5,-0.571170894256378
1.1,0.2,11.6,-0.579759558960113
1.1,0.2,11.7,-0.588389839943283
1.1,0.2,11.8,-0.597060893769856
1.1,0.2,11.9,-0.605771921505593
1.1,0.2,12,-0.61452217133683
1.1,0.2,12.1,-0.62331094095505
1.1,0.2,12.2,-0.632137579716141
1.1,0.2,12.3,-0.64100149058694
1.1,0.2,12.4,-0.649902131894311
1.1,0.2,12.5,-0.658839018894218
1.1,0.2,12.6,-0.667811725181152
1.1,0.2,12.7,-0.67681988395983
1.1,0.2,12.8,-0.685863189203317
1.1,0.2,12.9,-0.694941396723024
1.1,0.2,13,-0.704054325177291
1.1,0.2,13.1,-0.713201857046125
1.1,0.2,13.2,-0.722383939600239
1.1,0.2,13.3,-0.731600585892744
1.1,0.2,13.4,-0.740851875801802
1.1,0.2,13.5,-0.750137957151895
1.1,0.2,13.6,-0.759459046940967
1.1,0.2,13.7,-0.768815432699201
1.1,0.2,13.8,-0.778207474004304
1.1,0.2,13.9,-0.787635604176255
1.1,0.2,14,-0.797100332172816
1.1,0.2,14.1,-0.806602244705133
1.1,0.2,14.2,-0.816142008590485
1.1,0.2,14.3,-0.825720373357157
