"l [mm]","t [mm]","Freq [GHz]","dB(S(FloquetPort2:1,FloquetPort1:1)) []"
4,0.6,13.7,-0.505534543419261
4,0.6,13.8,-0.53867167998429
4,0.6,13.9,-0.572868223823269
4,0.6,14,-0.608002792622239
4,0.6,14.1,-0.643969479155733
4,0.6,14.2,-0.680675880784177
4,0.6,14.3,-0.718041400795383
4,0.6,14.4,-0.755995782228497
4,0.6,14.5,-0.794477840704453
4,0.6,14.6,-0.833434367783687
4,0.6,14.7,-0.872819180609984
4,0.6,14.8,-0.912592297192521
4,0.6,14.9,-0.952719219725544
4,0.6,15,-0.993170310928869
4,0.6,15.1,-1.03392025058566
4,0.6,15.2,-1.07494756131472
4,0.6,15.3,-1.11623419419872
4,0.6,15.4,-1.15776516623416
4,0.6,15.5,-1.19952824271672
4,0.6,15.6,-1.24151365865365
4,0.6,15.7,-1.28371387412964
4,0.6,15.8,-1.32612335926689
4,0.6,15.9,-1.36873840503273
4,0.6,16,-1.41155695667301
4,0.7,2,-0.189637489162985
4,0.7,2.1,-0.208962044233092
4,0.7,2.2,-0.229247372824636
4,0.7,2.3,-0.250499699219301
4,0.7,2.4,-0.272726328779091
4,0.7,2.5,-0.295935742042884
4,0.7,2.6,-0.320137691209199
4,0.7,2.7,-0.345343299129364
4,0.7,2.8,-0.371565161007163
4,0.7,2.9,-0.398817449080246
4,0.7,3,-0.427116020644561
4,0.7,3.1,-0.456478529876521
4,0.7,3.2,-0.486924544009283
4,0.7,3.3,-0.518475664529709
4,0.7,3.4,-0.55115565418208
4,0.7,3.5,-0.584990570694964
4,0.7,3.6,-0.620008908289026
4,0.7,3.7,-0.656241748178379
4,0.7,3.8,-0.69372291944772
4,0.7,3.9,-0.73248917187328
4,0.7,4,-0.772580362461858
4,0.7,4.1,-0.814039657709297
4,0.7,4.2,-0.856913753833926
4,0.7,4.3,-0.901253117523356
4,0.7,4.4,-0.947112250051765
4,0.7,4.5,-0.99454997798344
4,0.7,4.6,-1.04362977408539
4,0.7,4.7,-1.09442011253451
4,0.7,4.8,-1.146994863034
